drug_name,condition_vi
Ibuprofen 200 Stada,Loét dạ dày tiến triển
Ibuprofen 400 Stada,Loét dạ dày tiến triển
Ibuprofen 200 Stada,Suy thận nặng
Ibuprofen 400 Stada,Suy thận nặng
Aspirin pH8 500mg,Trẻ dưới 12 tuổi (hội chứng Reye)
Aspirin pH8 500mg,Rối loạn đông máu
Loperamide 2mg STADA,Tiêu chảy nhiễm khuẩn
Loperamide 2mg STADA,Trẻ dưới 12 tuổi
Amoxicillin 500mg DHG,Dị ứng penicillin
Amoxicillin 500 Stada,Dị ứng penicillin
Tamiflu 75mg,Suy thận nặng chưa điều chỉnh liều
Clorpheniramin 4mg Traphaco,Glaucoma góc đóng
Clorpheniramin 4mg Traphaco,Phì đại tuyến tiền liệt
Motilium-M 10mg,Xuất huyết tiêu hoá
